tconst	averageRating	numVotes
tt0000001	5.7	1846
tt0000002	6.0	236
tt0000003	6.5	1606
tt0000004	6.0	153
tt0000005	6.2	2429
tt0000006	5.2	158
tt0000007	5.4	760
tt0000008	5.5	1992
tt0000009	5.9	191
tt0000010	6.9	6643
tt0000011	5.2	335
tt0000012	7.5	11393
tt0000013	5.8	1758
tt0000014	7.1	5111
tt0000015	6.2	969
tt0000016	5.9	1356
tt0000017	4.6	298
tt0000018	5.3	548
tt0000019	5.3	29
tt0000020	5.0	321
tt0000022	5.1	1009
tt0000023	5.7	1320
tt0000024	4.4	85
tt0000025	4.3	39
tt0000026	5.7	1438
tt0000027	5.6	1061
tt0000028	5.2	980
tt0000029	6.0	3137
tt0000030	5.2	781
tt0000031	5.5	939
tt0000032	5.1	387
tt0000033	5.6	952
tt0000034	5.1	181
tt0000035	5.5	75
tt0000036	4.4	572
tt0000037	4.5	58
tt0000038	4.2	188
tt0000039	3.6	24
tt0000040	4.4	60
tt0000041	6.7	1687
tt0000042	4.2	35
tt0000043	3.6	30
tt0000044	4.2	40
tt0000045	4.0	30
tt0000046	4.1	32
tt0000047	3.7	32
tt0000048	4.8	170
tt0000049	5.2	44
tt0000050	4.3	32
tt0000051	3.8	32
tt0000052	4.4	85
tt0000053	2.8	16
tt0000054	4.9	32
tt0000055	3.8	28
tt0000056	3.2	20
tt0000057	4.3	31
tt0000058	4.3	30
tt0000059	3.6	25
tt0000060	7.7	82
tt0000061	4.1	22
tt0000062	6.4	184
tt0000063	3.5	25
tt0000064	3.3	26
tt0000065	3.5	26
tt0000066	3.4	26
tt0000067	5.7	56
tt0000068	3.7	28
tt0000069	4.9	415
tt0000070	6.5	2506
tt0000071	3.5	27
tt0000072	3.8	25
tt0000073	3.6	28
tt0000074	4.7	29
tt0000075	6.3	1781
tt0000076	4.5	506
tt0000077	4.6	32
tt0000078	3.9	68
tt0000079	4.4	33
tt0000080	4.1	29
tt0000081	4.1	30
tt0000082	4.8	46
tt0000083	4.7	31
tt0000084	4.5	28
tt0000085	4.7	30
tt0000086	4.2	31
tt0000087	4.7	35
tt0000088	4.3	30
tt0000089	6.2	935
tt0000090	4.0	29
tt0000091	6.7	3272
tt0000092	4.7	27
tt0000093	4.8	89
tt0000094	4.5	29
tt0000095	4.8	32
tt0000096	4.5	27
tt0000097	5.0	32
tt0000098	5.1	34
tt0000099	4.6	30
